dtc_code,description,possible_causes,causes,diagnostic_aids,application
P1001,"Key On Engine Running (KOER) Not Able To Complete, KOER Aborted This non-malfunction indicator lamp (MIL) DTC is set when the KOER self-test does not The MAF sensor circuit is monitored by the powertrain control module (PCM) for sudden","    Incorrect self-test procedure Causes and Diagnostic Aids for the DTC.     Poor continuity through the MAF sensor connectors","    Unexpected response from the self-test monitors     Poor continuity through the MAF sensor harness"," Carry out the KOEO self-test. Refer to Section 3 , Step 1: Powertrain Control Module (PCM) Quick Test. While accessing the MAF V PID on the scan tool, lightly tap on the MAF sensor or wiggle the MAF sensor connector and harness. If the MAF V PID suddenly changes below 0.23"," Key On Engine Off         Key On Engine Running             Continuous Memory Key On Engine Off       Key On Engine Running            Continuous Memory"
P1101,Mass Air Flow (MAF) Sensor Out of Self-Test Range The MAF sensor circuit is monitored by the powertrain control module (PCM) for an out of,"     Low battery charge","     MAF sensor partially connected"," A MAF V PID reading greater than 0.27 volt (KOEO) or a MAF V PID reading outside the 0.46 volt to 2.44 volts range (KOER) indicates a hard fault."," Key On Engine Off        Key On Engine Running           Continuous Memory"
P1112,Intake Air Temperature (IAT) Circuit Intermittent Indicates the IAT sensor signal was intermittent.,"    Damaged harness","    Damaged sensor"," Monitor the IAT on a scan tool. Look for sudden changes in the reading when the harness is wiggled or the sensor is tapped."," Key On Engine Off          Key On Engine Running           Continuous Memory"
P1115,Intake Air Temperature 2 (IAT2) Circuit High (Supercharged/Turbocharged engines) Indicates the sensor signal is greater than the self-test maximum. The IAT2 sensor,"    Open circuit in the harness","    Sensor signal short to voltage"," Monitor the IAT2 PID value. A typical IAT2 temperature should be greater than the IAT1 temperature. Refer to Section 6 , Reference Values."," Key On Engine Off          Key On Engine Running           Continuous Memory"
P1116,Engine Coolant Temperature (ECT) Sensor Out of Self-Test Range," Causes:               Overheating condition",," Aids:       The ECT must be greater than 10°C (50°F) to pass the key on engine off (KOEO)"," Key On Engine Off     Key On Engine Running           Continuous Memory"
P1117,Engine Coolant Temperature (ECT) Sensor Circuit Intermittent Indicates the ECT circuit became intermittently open or shorted while the engine was,"    Damaged harness","    Damaged sensor"," Monitor the ECT on a scan tool. Look for sudden changes in the reading when the harness is wiggled or the sensor is tapped."," Key On Engine Off         Key On Engine Running             Continuous Memory"
P1120,Throttle Position Sensor A Out Of Range Low (Ratch Too Low) The throttle position (TP) sensor circuit is monitored by the powertrain control module,"    TP circuit with frayed wires","    Corrosion or loose connection on the TP circuit connectors and pins"," A TP PID between 3.42-9.85% (0.17-0.49 volt) in key ON, engine OFF or key ON, engine running indicates a concern is present."," Key On Engine Off         Key On Engine Running              Continuous Memory"
P1124,Throttle Position Sensor A Out Of Self-Test Range The throttle position (TP) sensor circuit is monitored by the powertrain control module,"    Binding or bent throttle linkage","    TP sensor not seated properly"," The TP PID reading not between 13.27-23.52% (0.66-1.17 volts) in key ON, engine OFF or key ON, engine running indicates a concern is present."," Key On Engine Off          Key On Engine Running            Continuous Memory"
P1127,"Exhaust Temperature Out of Range, O2 Sensor Tests Not Completed The heated oxygen sensor (HO2S) monitor uses an exhaust temperature model to During idle, the powertrain control module (PCM) monitors the throttle angle and air flow. If Indicates the engine oil protection strategy is enabled when the engine oil temperature","     Engine not operating long enough prior to carrying out the key on engine running     Sludge around the throttle plate     Engine overheating Causes and Diagnostic Aids for the DTC."," (KOER) self-test      Low engine coolant"," Monitor the HO2S heater PIDs to determine their ON/OFF state. DTC P1127 is present if the exhaust is not hot.   This DTC is an informational DTC and may be set by an engine overheating concern. If the engine overheats, check the cooling system. Refer to the Workshop Manual Section 303-"," Key On Engine Off         Key On Engine Running             Continuous Memory Key On Engine Off           Key On Engine Running            Continuous Memory Key On Engine Off           Key On Engine Running            Continuous Memory"
P1184,Engine Oil Temperature (EOT) Sensor Out of Self-Test Range Indicates the EOT signal was out of self-test range.," Causes:              Damaged harness",," Aids: The engine should be at operating temperature before carrying out the self-test."," Key On Engine Off       Key On Engine Running         Continuous Memory"
P1227,Wastegate Failed Closed (Over pressure) Indicates that boost pressure is continuously higher than desired.,"    EGR valve","    MAF sensor"," This DTC is informational only and it may be accompanied by other DTCs. Diagnose other DTCs first."," Key On Engine Off        Key On Engine Running             Continuous Memory"
P1228,Wastegate Failed Open (Under pressure) Indicates that boost pressure is continuously lower than desired.,"    EGR valve","    MAF sensor"," This DTC is informational only and it may be accompanied by other DTCs. Diagnose other DTCs first."," Key On Engine Off        Key On Engine Running             Continuous Memory"
P1229,Charge Air Cooler (CAC) Pump Driver This DTC sets when the powertrain control module (PCM) commands the supercharger,"    CAC pump motor open circuit","    CAC pump relay coil open"," Check for voltage at the relay. Check the fuse in the voltage circuit. Check the ground connection of the CAC pump motor."," Key On Engine Off          Key On Engine Running          Continuous Memory"
P1233,Fuel Pump Driver Module Disabled or Off Line The powertrain control module (PCM) monitors the fuel pump monitor (FPM) circuit from,"     Inertia fuel shutoff (IFS) switch needs to be reset","     Open FPDM ground circuit"," The PCM expects to see one of the following duty cycle signals from the FPDM on the FPM circuit: 1) 50% (500 ms on, 500 ms off), all OK. 2) 25% (250 ms on, 750 ms off), FPDM did"," Key On Engine Off          Key On Engine Running          Continuous Memory"
P1234,Fuel Pump Driver Module Disabled or Off Line The powertrain control module (PCM) monitors the fuel pump monitor 2 (FPM2) circuit from,"     Inertia fuel shutoff (IFS) switch needs to be reset","     Open FPDM2 ground circuit"," The PCM expects to see one of the following duty cycle signals from the FPDM2 on the FPM2 circuit: 1) 50% (500 ms on, 500 ms off), all OK. 2) 25% (250 ms on, 750 ms off), the"," Key On Engine Off          Key On Engine Running         Continuous Memory"
P1235,Fuel Pump Control Out Of Range This DTC indicates the fuel pump driver module (FPDM) detected an invalid or missing fuel,"     FPC circuit open or short","     Electronic throttle control (ETC) system concern. Check for ETC DTCs"," The FPDM sends a 25% duty cycle (250 ms on, 750 ms off) through the FPM circuit to the PCM while the concern is being detected by the FPDM. If the concern is no longer"," Key On Engine Off          Key On Engine Running         Continuous Memory"
P1236,Fuel Pump Control Out Of Range This DTC indicates the fuel pump driver module 2 (FPDM2) detected an invalid or missing,"     FPC circuit open or short","     Damaged FPDM2"," The FPDM2 sends a 25% duty cycle (250 ms on, 750 ms off) through the FPM2 circuit to the PCM while the concern is being detected by the FPDM2. If the concern is no longer"," Key On Engine Off         Key On Engine Running         Continuous Memory"
P1237,Fuel Pump Secondary Circuit This DTC indicates that the fuel pump driver module (FPDM) detected a fuel pump,"     Open or short FP PWR circuit","     Open FP RTN circuit to FPDM"," The FPDM sends a 75% duty cycle (750 ms on, 250 ms off) through the FPM circuit to the PCM while the concern is being detected by the FPDM. If the concern is no longer"," Key On Engine Off         Key On Engine Running         Continuous Memory"
P1238,Fuel Pump Secondary Circuit This DTC indicates the fuel pump driver module (FPDM2) detected a fuel pump secondary,"     Open or short FP2PWR circuit","     Open FP2RTN circuit to FPDM2"," The FPDM2 sends a 75% duty cycle (750 ms on, 250 ms off) through the FPM2 circuit to the PCM while the concern is being detected by the FPDM2. If the concern is no longer"," Key On Engine Off         Key On Engine Running           Continuous Memory"
P1244,Alternator Load High Input The powertrain control module (PCM) monitors generator load from the generator/regulator,"     GENLI circuit short to voltage","     GENRC circuit short to voltage"," Verify the battery voltage is 14.5 volts. Verify the generator/regulator has the correct part number."," Key On Engine Off        Key On Engine Running           Continuous Memory"
P1245,Alternator Load Low Input The powertrain control module (PCM) monitors generator load from the generator/regulator,"     GENRC circuit short to ground","     GENLI circuit short to ground"," Verify the battery voltage is 14.5 volts. Verify the generator/regulator has the correct part number."," Key On Engine Off            Key On Engine Running          Continuous Memory"
P1246,Alternator Load Input The powertrain control module (PCM) monitors the generator load from the,"     GENLI circuit shorted to voltage or ground","     GENLI circuit open"," Verify the battery voltage is 14.5 volts. Verify the generator/regulator has the correct part number."," Key On Engine Off            Key On Engine Running          Continuous Memory"
P1260,"Theft Detected, Vehicle Immobilized Indicates the passive anti-theft system (PATS) determined a theft condition existed and Indicates the vehicle has been operated in a manner which caused the engine or vehicle to","    Previous theft condition     Wheel slippage (water, ice, mud, and snow)","    Anti-theft system failure     Excessive engine RPM in NEUTRAL or operated in the wrong transmission gear"," Theft indicator flashing rapidly or on solid when ignition switch is in the ON position. Check anti-theft system for DTCs. The DTC indicates the vehicle was operated in a manner which caused the engine RPM or vehicle speed to exceed a calibrated limit."," Key On Engine Off        Key On Engine Running             Continuous Memory Key On Engine Off         Key On Engine Running              Continuous Memory"
P1285,Cylinder Head Over Temperature Condition Indicates an engine overheat condition was sensed by the cylinder head temperature,"     Low engine coolant level","     Base engine concerns"," On some applications when this fault occurs the engine temperature warning indicator illuminates or forces the temperature gauge to the full H (hot) zone. The warning indicator"," Key On Engine Off       Key On Engine Running             Continuous Memory"
P1288,Cylinder Head Temperature (CHT) Sensor Out of Self-Test Range Indicates the CHT sensor is out of self-test range. The engine is not at a normal operating,"     Cold engine","     Engine overheating"," Bring the engine to operating temperature. If cold, repeat the self-test. If the engine overheats, check the cooling system. Refer to the Workshop Manual Section 303-03,"," Key On Engine Off         Key On Engine Running           Continuous Memory"
P1289,Cylinder Head Temperature (CHT) Sensor Circuit High Indicates a CHT sensor circuit open. Indicates the CHT circuit became intermittently open or shorted while the engine was Indicates a CHT sensor circuit short to ground.,"     Open CHT sensor circuit    Damaged harness or connector        Grounded circuit in CHT harness","     CHT sensor circuit short to voltage    Damaged sensor        Damaged CHT sensor"," A CHT V PID reading of greater than 4.6 volts with key ON engine OFF, or during any engine operating mode, indicates a concern is present. Note: DTC P0118 may also be Monitor the CHT on a scan tool. Look for sudden changes in the reading when the harness is wiggled or the sensor is tapped. A CHT V PID value reading of less than 0.2 volt with key ON engine OFF, or during any engine operating mode, indicates a concern is present. DTC P0117 may also be reported"," Key On Engine Off        Key On Engine Running            Continuous Memory Key On Engine Off         Key On Engine Running           Continuous Memory Key On Engine Off           Key On Engine Running          Continuous Memory"
P1299,Cylinder Head Over Temperature Protection Active Indicates an engine overheat condition was detected by the cylinder head temperature,"        Engine cooling system concerns","        Low engine coolant level"," Refer to Section 1, Powertrain Control Software , for more information on the fail-safe cooling strategy and cylinder head temperature sensor."," Key On Engine Off           Key On Engine Running          Continuous Memory"
P1336,Crankshaft/Camshaft Sensor Range/Performance The input signal to the powertrain control module (PCM) from the crankshaft position,"     Damaged CKP sensor","     Damaged CMP sensor"," Check the harness for routing, alterations, improper shielding, or electrical interference from other improperly functioning systems."," Key On Engine Off           Key On Engine Running          Continuous Memory"
P1397,System Voltage Out Of Self -Test Range This DTC indicates that the 12-volt system voltage is too high or too low during the key on,"     Battery or charging system concern."," "," Make sure the battery voltage is between 11 and 18 volts before running a KOEO or KOER self-test."," Key On Engine Off       Key On Engine Running             Continuous Memory"
P1405,"Differential Pressure Feedback Sensor Upstream Hose Off or Plugged While driving, the exhaust gas recirculation (EGR) monitor commands the EGR valve","     The upstream hose is disconnected","     The upstream hose is plugged (ice)"," Look for signs of water or icing in the hose. Verify the hose connection and routing (no excessive dips). Check the DPFE sensor for correct mounting and function. View the"," Key On Engine Off         Key On Engine Running             Continuous Memory"
P1406,"Differential Pressure Feedback Sensor Downstream Hose Off or Plugged While driving, the exhaust gas recirculation (EGR) monitor commands the EGR valve","     Downstream hose is disconnected","     Downstream hose is plugged (ice)"," Look for signs of water or icing in the hose. Verify the hose connection and routing (no excessive dips). Check the DPFE sensor for correct mounting and function. View the"," Key On Engine Off        Key On Engine Running             Continuous Memory"
P1408,Exhaust Gas Recirculation (EGR) Flow Out of Self-Test Range (Non-MIL) This test is carried out during the key on engine running (KOER) on-demand self-test," Causes:            For electric EGR (EEGR) system, see possible causes for DTC P0400.",," Aids:   For EEGR, use the output state control function of the scan tool and monitor the"," Key On Engine Off       Key On Engine Running            Continuous Memory"
P1409,Exhaust Gas Recirculation (EGR) Vacuum Regulator Solenoid Circuit This test checks the electrical function of the EGR vacuum regulator solenoid. The," Causes:              EVR circuit open",," Aids:       The EGR vacuum regulator solenoid resistance is between 26 and 40 ohms."," Key On Engine Off        Key On Engine Running           Continuous Memory"
P1436,A/C Evaporator Air Temperature Circuit Low Indicates the A/CET signal input was less than the self-test minimum. The self-test,"     A/CET circuit short to ground or SIG RTN","     Damaged A/CET sensor"," The powertrain control module (PCM) sources a low current 5 volt reference on the A/CET circuit (this voltage can be measured with the sensor disconnected). As the A/C evaporator"," Key On Engine Off        Key On Engine Running              Continuous Memory"
P1437,A/C Evaporator Air Temperature Circuit High Indicates the A/CET signal input was greater than the self-test minimum. The self-test,"    A/CET circuit open","    SIG RTN circuit open to A/CET sensor"," The powertrain control module (PCM) sources a low current 5 volt reference on the A/CET circuit (this voltage can be measured with the sensor disconnected). As the A/C evaporator"," Key On Engine Off          Key On Engine Running            Continuous Memory"
P1443,Evaporative Emission System Control Valve (Low/No Flow) A fuel tank pressure change greater than minus (-) 7 inches of water in 30 seconds,"    Blocked fuel vapor hose between the EVAP canister purge valve and the fuel tank"," pressure (FTP) sensor"," Check for blockages between the fuel tank, the EVAP canister purge valve, and the engine intake manifold. Check for obstructions in the EVAP canister purge valve"," Key On Engine Off         Key On Engine Running            Continuous Memory"
P1450,Unable to Bleed Up Fuel Tank Vacuum Monitors the fuel vapor vacuum and pressure in the fuel tank. System failure occurs when,"    Blockages or kinks in the EVAP canister tube or EVAP canister purge outlet tube"," between the fuel tank, the EVAP canister purge valve and the EVAP canister"," Visually inspect the EVAP canister inlet port, CV solenoid filter, and canister vent hose assembly for contamination or debris."," Key On Engine Off       Key On Engine Running              Continuous Memory"
P1451,Evaporative Emission System Vent Control Circuit Monitors the canister vent (CV) solenoid circuit for an electrical failure. The test fails when,"     VPWR circuit open","     CV solenoid circuit short to PWR GND or CHASSIS GND"," To verify normal functioning, monitor the evaporative emission (EVAP) CV solenoid signal PID EVAPCV and the signal voltage on the PCM control side. With the valve open, the"," Key On Engine Off        Key On Engine Running              Continuous Memory"
P1460,Wide Open Throttle A/C Cutout Circuit Monitors the A/CCR circuit output from the powertrain control module (PCM). The test fails,"     Open or short A/CCR circuit","     Damaged A/CCR relay"," The A/CCR control circuit can be monitored using the WACF and WAC PID. When the WACF PID reads YES, a concern is present."," Key On Engine Off           Key On Engine Running           Continuous Memory"
P1461,A/C Pressure Sensor Circuit High The A/CP sensor inputs a voltage to the PCM. If the voltage is above a calibrated level,"    A/CP sensor circuit short to PWR","    A/CP circuit open"," Verify a VREF voltage between 4 and 6 volts. "," Key On Engine Off          Key On Engine Running         Continuous Memory"
P1462,Air Conditioning Pressure (A/CP) Sensor Low Voltage Detected The A/CP sensor inputs a voltage to the powertrain control module (PCM). If the voltage is,"     A/CP circuit short to GND or SIGRTN","     VREF circuit open"," Verify a VREF voltage between 4 and 6 volts. "," Key On Engine Off        Key On Engine Running           Continuous Memory"
P1463,"Air Conditioning Pressure Sensor (A/CP) Insufficient Pressure Change Each time the A/C clutch engages, the powertrain control module (PCM) is looking for a","     A/C system mechanical failure","     Open ACP or VREF circuit"," Verify the A/C system function, including refrigerant charge. Refer to the Workshop Manual Section 412-00, Climate Control System."," Key On Engine Off        Key On Engine Running               Continuous Memory"
P1464,A/C Demand Out Of Self-Test Range The diagnostic trouble code (DTC) sets when the powertrain control module (PCM),"    A/C or defrost on during self-test","    A/CCS circuit short to voltage"," If the A/C or defrost was on during self-test, turn the A/C or defrost off and repeat the self- test. An A/C request to the PCM may come through the communication link or on a"," Key On Engine Off           Key On Engine Running            Continuous Memory"
P1469,Rapid A/C Cycling Indicates frequent A/C compressor clutch cycling.,"     Mechanical A/C system concern (such as low refrigerant charge, damaged A/C"," cycling switch)"," This test is designed to protect the transmission. In some strategies, the PCM unlocks the torque converter during A/C clutch engagement. If a concern is present that results in"," Key On Engine Off            Key On Engine Running              Continuous Memory"
P1474,Fan Control Primary Circuit Monitors the LFC primary circuit output from the powertrain control module (PCM). The test,"     Open or short LFC circuit","     Open VPWR circuit to the low speed FC relay"," When the LFCF PID reads YES, a concern is currently present. An open circuit or short to ground can only be detected when the PCM is not grounding the"," Key On Engine Off         Key On Engine Running              Continuous Memory"
P1477,Additional Fan Relay Circuit Monitors the MFC primary circuit output from the powertrain control module (PCM). The,"     Open or short MFC circuit","     Open IGN START/RUN circuit to the medium speed FC relay"," When the MFCF PID reads YES, a concern is currently present. An open circuit or short to ground can only be detected when the PCM is not grounding the"," Key On Engine Off       Key On Engine Running            Continuous Memory"
P1479,High Fan Control Primary Circuit Monitors the HFC primary circuit output from the powertrain control module (PCM). The test,"     Open or short HFC circuit","     Open VPWR circuit to the high speed FC relay"," When the HFCF PID reads YES, a concern is currently present. An open circuit or short to ground can only be detected when the PCM is not grounding the"," Key On Engine Off       Key On Engine Running            Continuous Memory"
P1489,PCV Heater Control Circuit This DTC sets when the powertrain control module (PCM) detects a positive crankcase,"    Open or shorted PCV circuit","    Damaged PCV heater assembly"," Make sure the PCV valve is correct for the engine application and the PCV heater circuit is properly connected."," Key On Engine Off           Key On Engine Running             Continuous Memory"
P1500,Vehicle Speed Sensor (VSS) Indicates the VSS input signal was intermittent. This DTC is set when a VSS," Causes:                     Intermittent VSS connections",," Aids:             Check the wiring, connector, and sensor for damage."," Key On Engine Off           Key On Engine            Continuous Memory"
P1501,Vehicle Speed Sensor (VSS) Out of Self-Test Range Indicates the VSS input signal is out of self-test range. If the powertrain," Causes:                     Noise on the VSS input signal from the radio frequency",," Aids:                Verify the VSS input is 0 km/h (0 mph) when the vehicle transmission is in"," Key On Engine Off          Key On Engine          Continuous Memory"
P1502,Vehicle Speed Sensor (VSS) Intermittent Indicates the powertrain control module (PCM) detected an error in the vehicle," Causes:       See the possible causes for DTC P0500.",," Aids:       See the diagnostic aids for DTC P0500."," Key On Engine Off        Key On Engine Running          Continuous Memory"
P1504,Idle Air Control (IAC) Circuit,"    IAC circuit open","    VPWR to IAC solenoid open","  "," Key On Engine Off            Key On Engine Running         Continuous Memory"
P1506,Idle Air Control (IAC) Overspeed Error This DTC is set when the powertrain control module (PCM) detects an engine idle speed,"    IAC circuit short to GND","    Damaged IAC valve"," Disconnect the IAC valve and look for little or no change in engine RPM as an indication of a stuck or damaged valve."," Key On Engine Off            Key On Engine Running         Continuous Memory"
P1507,Idle Air Control (IAC) Underspeed Error This DTC is set when the powertrain control module (PCM) detects an engine idle speed,"    IAC circuit open","    Air inlet is plugged"," Disconnect the IAC valve and look for little or no change in engine RPM as an indication of a stuck or damaged valve."," Key On Engine Off          Key On Engine Running            Continuous Memory"
P1512,"Intake Manifold Runner Control (IMRC) Stuck Closed (Bank 1) This DTC is set when the vacuum actuated IMRC is commanded open, but the IMRC","    IMRC monitor circuit open","    Suspect IMRC solenoid"," Monitor the IMRC and IMRCM PIDs. The IMRCM state should change when the IMRC is commanded open or closed."," Key On Engine Off        Key On Engine Running             Continuous Memory"
P1513,"Intake Manifold Runner Control (IMRC) Stuck Closed (Bank 2) This DTC is set when the vacuum actuated IMRC is commanded open, but the IMRC","    IMRC monitor circuit open","    Suspect IMRC solenoid"," Monitor the IMRC and IMRCM PIDs. The IMRCM state should change when the IMRC is commanded open or closed."," Key On Engine Off        Key On Engine Running             Continuous Memory"
P1516,Intake Manifold Runner Control (IMRC) Input Error (Bank 1) The IMRC system is monitored for failure during continuous or key on engine off (KOEO),"    Mechanical concern - bind, seize, damage, or obstruction of IMRC hardware"," "," Monitor the IMRC and IMRCM PIDs. The IMRCM state should change when the IMRC is commanded open or closed."," Key On Engine Off        Key On Engine Running          Continuous Memory"
P1517,Intake Manifold Runner Control (IMRC) Input Error (Bank 2) The IMRC system is monitored for failure during continuous or key on engine off (KOEO),"    Mechanical concern - bind, seize, damage, or obstruction of IMRC hardware"," "," Monitor the IMRC and IMRCM PIDs. The IMRCM state should change when the IMRC is commanded open or closed."," Key On Engine Off        Key On Engine Running          Continuous Memory"
P1518,"Intake Manifold Runner Control (IMRC) Stuck Open Bank 1 This DTC is set when the electrically actuated IMRC is commanded closed, but the","    IMRC monitor signal circuit shorted to PWR GND or SIG RTN","    Damaged IMRC actuator"," Monitor the IMRC and IMRCM PIDs. The IMRCM state should change when the IMRC is commanded open or closed."," Key On Engine Off         Key On Engine Running          Continuous Memory"
P1519,Intake Manifold Runner Control (IMRC) Stuck Closed Bank 1 The intake manifold runner control (IMRC) system is monitored for failures. The test fails,"    IMRC monitor circuit open     IMRC control circuit open","    IMRC control circuit open     Mechanical concern - bind, seize, damage, or obstruction of IMRC hardware"," Monitor the IMRC and IMRCM PIDs. The IMRCM state should change when the IMRC is commanded open or closed. View the IMRCF PID to monitor for a fault. "," Key On Engine Off         Key On Engine Running             Continuous Memory Key On Engine Off         Key On Engine Running              Continuous Memory"
P1520,Intake Manifold Runner Control (IMRC) Circuit This DTC indicates a failure in the IMRC primary control circuit.,"    IMRC control circuit open"," "," Monitor the IMRC and IMRCM PIDs. The IMRCM state should change when the IMRC is commanded open or closed."," Key On Engine Off         Key On Engine Running         Continuous Memory"
P1537,"Intake Manifold Runner Control (IMRC) Stuck Open (Bank 1) This DTC is set when the vacuum actuated IMRC is commanded closed, but the IMRC","    IMRC monitor signal circuit shorted to PWR GND or SIG RTN","    Damaged IMRC solenoid"," Monitor the IMRC and IMRCM PIDs. The IMRCM state should change when the IMRC is commanded open or closed."," Key On Engine Off         Key On Engine Running         Continuous Memory"
P1538,"Intake Manifold Runner Control (IMRC) Stuck Open (Bank 2) This DTC is set when the vacuum actuated IMRC is commanded closed, but the IMRC","    IMRC monitor signal circuit shorted to PWR GND or SIG RTN","    Damaged IMRC solenoid"," Monitor the IMRC and IMRCM PIDs. The IMRCM state should change when the IMRC is commanded open or closed."," Key On Engine Off         Key On Engine Running         Continuous Memory"
P1548,Engine Air Filter Restriction The powertrain control module (PCM) monitors the manifold absolute pressure (MAP) at,"    Intake air restriction","    Clogged air filter"," If this DTC is set, inspect the intake air system and replace the air filter if no obstructions are found."," Key On Engine Off        Key On Engine Running                Continuous Memory"
P1549,Intake Manifold Communication Control (IMCC) Circuit (Bank 1) The IMCC or intake manifold tuning (IMTV) system is monitored for failure during,"     Open IMTV circuit","     Open VPWR circuit"," An IMTV fault PID (IMTVF) displaying YES may indicate a fault. "," Key On Engine Off         Key On Engine Running              Continuous Memory"
P1550,Power Steering Pressure (PSP) Sensor Out of Self-Test Range The PSP sensor input signal to the powertrain control module (PCM) is continuously,"    Steering wheel not turned during self-test.","    PSP sensor or circuit damaged"," The DTC indicates the PSP sensor is out of self-test range. "," Key On Engine Off          Key On Engine Running              Continuous Memory"
P1565,Speed Control Command Switch Out Of Range High," Causes:",," Aids:"," Key On Engine Off Key On Engine Running Continuous Memory"
P1566,"Speed Control Command Switch Out Of Range Low "," Causes:",," Aids:"," Key On Engine Off Key On Engine Running Continuous Memory"
P1567,"Speed Control Output Circuit "," Causes:",," Aids:"," Key On Engine Off Key On Engine Running Continuous Memory"
P1568,Speed Control Unable to Hold Speed  Indicates the brake input rationality test for brake pedal position (BPP) and brake pressure," Causes:    Misadjusted brake switches, BPP or BPS","    Blown fuse"," Aids: DTC P1572 is set when the PCM does not sense the proper sequence of the brake pedal input signal from both the BPP and BPS switches when the brake pedal is pressed and"," Key On Engine Off Key On Engine Running Continuous Memory Key On Engine Off           Key On Engine Running              Continuous Memory"
P1582,"Electronic Throttle Monitor Data Available Indicates the actuation of restraint deployment, and the availability of electronic throttle","  Causes and Diagnostic Aids for the DTC."," "," This DTC indicates the actuation of the restraint deployment system. Do not install a new powertrain control module (PCM), because there is no concern indicated."," Key On Engine Off          Key On Engine Running             Continuous Memory"
P1633,Keep Alive Power (KAPWR) Voltage Too Low Indicates the KAPWR circuit has experienced a voltage interrupt.,"    Open KAPWR circuit","    Intermittent KAPWR"," Loss of KAPWR to the powertrain control module (PCM) results in immediate malfunction indicator lamp (MIL) illumination and DTC P1633."," Key On Engine Off           Key On Engine Running           Continuous Memory"
P1635,Tire/Axle Ratio Out of Acceptable Range This DTC indicates the tire and axle information contained in the vehicle ID block (VID),"     Incorrect tire size Causes and Diagnostic Aids for the DTC.","     Incorrect axle ratio"," Using the scan tool, view the tire and axle parameters within the VID. They must match the vehicle hardware."," Key On Engine Off           Key On Engine Running           Continuous Memory"
P1636,Inductive Signature Chip Communication Error Indicates the powertrain control module (PCM) has lost communication with the inductive,"        Damaged PCM"," ","  "," Key On Engine Off             Key On Engine Running            Continuous Memory"
P1639,"Vehicle ID (VID) Block Corrupted, Not Programmed This DTC indicates the VID block is not programmed or the information within is corrupt.","    New powertrain control module (PCM)","     Incorrect PCM"," Program the PCM to the most recent calibration available. "," Key On Engine Off            Key On Engine Running           Continuous Memory"
P1640,Powertrain DTCs Available in Another Module Vehicles using a secondary engine control module can request that the powertrain control,"        DTCs stored in a secondary module, which requested the MIL to be turned on Causes and Diagnostic Aids for the DTC."," ","  "," Key On Engine Off           Key On Engine Running            Continuous Memory"
P1641,"Fuel Pump Primary Circuit See the description for DTC P1235/P1236. See the description for DTC P0230. In the key on engine off (KOEO) self-test, this DTC indicates the PSP input to the"," Causes:                      See the possible causes for DTC P1235/P1236. Causes:                      See the possible causes for DTC P0230.    The steering wheel must be turned during KOER self-test","    PSP switch/shorting bar damaged"," Aids:                      See the diagnostic aids for DTC P1235/P1236. Aids:                      See the diagnostic aids for DTC P0230. Check if the vehicle was towed or a power steering repair was carried out. Observe the PSP V PID while checking the wires for intermittent concerns."," Key On Engine Off Key On Engine Running Continuous Memory Key On Engine Off           Key On Engine Running          Continuous Memory"
P1651,Power Steering Pressure (PSP) Switch Input The powertrain control module (PCM) counts the number of vehicle speed transitions from,"    Vehicle towed with the engine running","    The power steering hydraulic concern was repaired but the DTC was not erased"," Check if the vehicle was towed or a power steering repair was carried out. Observe the PSP V PID while checking the wires for intermittent concerns."," Key On Engine Off            Key On Engine Running            Continuous Memory"
P1674,Control Module Software Corrupted Indicates an error occurred in the powertrain control module (PCM). This DTC is set in,"    Software incompatibility issue","    Damaged PCM"," Verify the PCM is at the latest calibration level. "," Key On Engine Off            Key On Engine Running            Continuous Memory"
P1703,"Brake Switch Out of Self-Test Range Indicates that during the key on engine off (KOEO) self-test, the brake pedal position"," Causes:               Open or short in the BPP circuit",," Aids:     Check for correct function of the stoplamps. Using the scan tool, check the BPP PID."," Key On Engine Off          Key On Engine Running           Continuous Memory"
P1705,Transmission Range Sensor Out of Self-Test Range The transmission range circuit is not indicating PARK/NEUTRAL during self-test. This DTC indicates that the voltage is high when it should be low.," Causes:               Gear selector not in PARK/NEUTRAL    PNP/CPP circuit short to PWR","    Damaged PNP or CPP switch"," Aids: Verify the gear selector is in PARK/NEUTRAL. Aids: When activating either the PNP or CPP switch, the voltage should cycle from 5 volts to"," Key On Engine Off           Key On Engine Running        Continuous Memory Key On Engine Off          Key On Engine Running          Continuous Memory"
P1729,4x4L Switch The 4x4L switch is an on/off switch. If the powertrain control module (PCM) does not,"     The 4x4L harness between the PCM and the 4x4L switch is open or shorted","     Damaged 4x4L switch"," Verify the 4x4L switch cycles on/off. "," Key On Engine Off         Key On Engine Running            Continuous Memory"
P1780,"Transmission Control Switch (TCS) Out of Self-Test Range During key on engine running (KOER) self-test the TCS must be cycled, or a DTC is The 4x4L switch is an on/off switch. If the powertrain control module (PCM) does not  ","    TCS not cycled during the self-test.     4x4L harness open or shorted Causes: Causes:","    TCS circuit short or open     Damaged electronic shift module"," Aids: Verify the TCS switch cycles on/off. Verify the 4x4L switch cycles on/off.  Aids: Aids:"," Key On Engine Off          Key On Engine Running          Continuous Memory Key On Engine Off          Key On Engine Running           Continuous Memory Key On Engine Off Key On Engine Running Continuous Memory Key On Engine Off     Key On Engine Running       Continuous Memory"
